,"白骨精騙唐僧","一計不成又生一計"
,"白骨精說人話","妖言惑眾"
,"白骨精想吃唐僧肉","痴心妄想"
,"白骨精遇上孫悟空","原形畢露"
,"白骨精照鏡子","裡外不是人"
,"白骨精裝新娘","妖里妖氣"
,"白鶴站在雞群裡","突出"
,"白蠟樹上結桂花","根子不正"
,"白臉蛋上打粉","可有可無"
,"白臉奸臣出場","惡相"
,"白毛烏鴉","與眾不同"
,"白米換糠","有福不會享"
,"白娘娘鬥法海","精打光"
,"白娘娘喝了雄黃酒","顯現原形"
,"白娘子鬥法海","精打光"
,"白娘子喝了雄黃酒","顯現原形"
,"白娘子救許仙","盡心盡力"
,"白娘子突斷橋","想起舊情來"
,"白娘子壓在雷峰塔下","總有人搭救"
,"白娘子遇許仙","千里姻緣一線牽"
,"白日做夢","胡思亂想"
,"白水鍋裡揭豆腐皮","辦不到"
,"白水煮冬瓜","沒啥滋味"
,"白水煮豆腐","淡而無味"
,"白素貞不捨許仙","恩愛難分"
,"白素貞哭斷橋","想起舊情"
,"白糖拌蜜糖","甜上加甜"
,"白天打燈籠","白搭"
,"白天照電筒","多此一舉"
,"白眼狼戴眼鏡","冒充好了"
,"白楊樹葉子","兩面光"
,"白衣秀士當寨主","容不得人"
,"白蟻蛀觀音","自身難保"
,"白蟻鑽過的料","壞透了"
,"白紙黑字","黑白分明"
,"百合地裡栽甘蔗","苦根甜苗"
,"百家姓上少了第二姓","缺錢"
,"百家姓少了第二姓","沒錢"
,"百斤擔子加鐵砣","重任在肩"
,"百里草原安家","孤孤單單"
,"百里長的公路不用拐彎","太直了"
,"百靈戲牡丹","鳥語花香"
,"百靈遇鸚鵡","會唱的碰到會說的"
,"百米短跑","有始有終"
,"百年的大樹","根深蒂固"
,"百年的瓜子千年的樹","根深蒂固"
,"百年的歪脖樹","定型了"
,"百年鳥龜下臭卵","老壞蛋"
,"百年松樹，五月芭蕉","粗枝大葉"
,"百鳥展翅","各顯其能"
,"百歲老人過生日","難得有一回"
,"百歲老人學跳舞","人老心不老"
,"百歲老人做大壽","四世同堂"
,"百萬雄師下江南","興師動眾"
,"百萬雄獅過大江","勢不可當"
,"百隻麻雀炒碟菜","儘是嘴"
,"柏油燙豬頭","連根拔"
,"擺渡不成翻了舟","兩頭誤"
,"敗家子回頭","金不換"
,"拜罷天地去討飯","沒過一天好日子"
,"拜年不磕頭","幹什麼來了"
,"拜年的話","好聽"
,"拜年的見了面","你好我也好"
,"拜堂的夫妻","謝天謝地"
,"扳不倒照鏡子","裡外不是人"
,"扳倒大樹掏老鴿","揀有把握的干"
,"扳倒大樹掏老鴰","揀有把握的干"
,"扳倒大甕掏小米","摸到底了"
,"扳倒葫蘆灑了油","一不做，二不休"
,"扳倒礁窩，嚇跑婆婆","潑婦"
,"扳倒樹掏老鴰","穩逮"
,"扳手緊螺帽","絲絲入扣"
,"扳著指頭算賬","有數"
,"班門弄斧","自不量力"
,"斑鳩打架","賣弄風流"
,"斑馬的腦袋","頭頭是道"
,"搬家丟了老婆","粗心極了"
,"搬竹竿進胡同","直來直去"
,"搬著梯子上天","沒門"
,"板凳倒地","四腳朝天"
,"板凳倒立","四腳朝天"
,"板凳爬上牆","怪事一回"
,"板凳上打麻將","抓不開"
,"板凳上擱窩窩頭","有板有眼"
,"板門上貼門神","一個向東，一個向西"
,"板上釘釘子","穩紮穩打"
,"半邊豬頭","獨眼"
,"半道上撿個喇叭","有得吹了"
,"半道上遇親人","喜相逢"
,"半吊子的一半","二百五"
,"半個銅錢","不成方圓"
,"半截梭子織布","獨來獨往"
,"半空的云彩","變化多端"
,"半空中盪鞦韆","不落實"
,"半空中的火把","高明"
,"半空中點燈","高明"
,"半空中吊帳子","不著實地"
,"半空中放風箏","總有牽線人"
,"半空中騎馬","騰云駕霧"
,"半籃子喜鵲","嘰嘰喳喳"
,"半兩人說千斤語","好大的口氣"
,"半路上碰見劫道的","凶多吉少"
,"半路上出家","從頭學起"
,"半路上丟算盤","失算了"
,"半路上留客人","嘴上熱情"
,"半路上殺出個程咬金","突如其來：措手不及"
,"半路上殺出個楊排風","好厲害的丫頭"
,"半路天小差","有始無終"
,"半瓶於醋","晃蕩得很"
,"半天打不出噴嚏來","難受"
,"半天云裡踩鋼絲","提心吊膽"
,"半天云里長滿草","破天荒"
,"半天云裡唱歌","調子太高"
,"半天云裡吃喝","空喊"
,"半天云裡打燈籠","高明"
,"半天云裡打電話","空談"
,"半天云裡打麻雀","空對空"
,"半天云裡打算盤","算得高"
,"半天云裡翻跟頭","不著實地"
,"半天云裡翻賬簿","算得高"
,"半天云裡放屁","臭氣熏天"
,"半天云裡掛剪子","高才"
,"半天云裡喊口號","呼聲很高"
,"半天云里拉家常","空談"
,"半天云裡聊天","高談闊論"
,"半天云裡拋棉花","肯定落空"
,"半天云裡跑馬","露馬腳"
,"半天云裡騎仙鶴","遠走高飛"
,"半天云裡響炸雷","驚天動地"
,"半天云裡寫文章","空話連"
,"半天云裡演雜技","藝高人膽大"
,"半天云裡找對象","要求太高"
,"半天云裡作演說","高論"
,"半天云裡做演說","高論"
,"半天云中拍巴掌","高手"
,"半天抓云","一句空話"
,"半響打不出噴嚏來","干難受"
,"半夜拔河","暗中使勁"
,"半夜吃甘庶","不知頭尾"
,"半夜吃黃連","暗中叫苦"
,"半夜出門做生意","賺黑錢"
,"半夜打雷心不驚","問心無愧"
,"半夜彈琴","暗中作樂"
,"半夜過獨木橋","步步小心"
,"半夜雞叫","亂了時辰"
,"半夜裡和面","瞎鼓搗"
,"半夜裡掄大斧","瞎砍一通"
,"半夜裡摘茄子","不分老嫩"
,"半夜聊天","瞎說"
,"半夜鬧王殿","暗中搞鬼"
,"半夜爬山","不知高低"
,"半夜起來罵閻王","等死等不到天亮"
,"半夜敲鐘","一鳴驚人"
,"半夜三更放鞭炮","一鳴驚人"
,"半夜做惡夢","虛驚一場"
,"半夜做買賣","暗中交易"
,"半夜做夢娶新娘","想得美"
,"吃米不記種田人","忘本"
,"半衣捅雞窩","暗中搗蛋"
,"綁著腿的青蛙","跳不了啦"
,"膀子折斷了往袖裡塞","干吃啞巴虧"
,"蚌裡藏珍珠","好的在裡面"
,"棒糙上天","總有一頭落地"
,"棒槌吹火","一竅不通"
,"棒搥打缸","四分五裂"
,"棒槌當針","粗細不分"
,"棒槌鍛磨","胡鑿"
,"棒槌裡插針","粗中有細"
,"棒槌敲鼓","大干一場"
,"棒打鴨子","呱呱叫"
,"棒子面煮葫蘆","胡胡塗涂"
,"棒子面做蛋糕","不是正經材料"
,"磅秤上放粒芝麻","無足輕重"
,"包辦婚姻","不由自主"
,"包單布洗臉","大方"
,"包工頭監工","動口不動手"
,"包公的上方寶劍","先斬後奏"
,"包公的衙門","好進難出"
,"包公的鍘刀","不認人"
,"包公斷案","鐵面無私"
,"包公放糧","為窮人著想"
,"包公升堂","儘管直說"
,"包公斬包勉","正人先正己"
,"包腳佈滿天飛","打的什麼旗號"
,"包腳布圍嘴","臭了一圈"
,"包腳布做圍脖","臭一圈兒"
,"包老爺怒鍘陳世美","一刀兩斷"
,"包龍圖斷案","認理不認親：六親不認"
,"包米面做元宵","捏不到一塊兒"
,"包子吃到豆沙邊","嘗到甜頭"
,"包子饅頭做一籠","大家都爭氣"
,"包子張嘴","露餡"
,"苞谷秸喂牲口","天生的粗料"
,"苞谷面做元宵","捏不攏"
,"雹打的高梁稈","光棍一條"
,"寶劍出鞘","鋒芒畢露"
,"寶玉和湘云哭賈母","各有各的眼淚"
,"寶玉湘云哭賈母","各有各的傷心處"
,"飽帶乾糧晴帶傘","有備無患"
,"保姆做嫁妝","替別人歡喜"
,"保險櫃裡安家","圖的是安全"
,"保險櫃裡安雷管","暗藏殺機"
,"報曉的公雞","叫得早"
,"抱乾柴救烈火","越幫越忙"
,"抱黃連敲門","苦到家了"
,"抱雞婆帶娃娃","只管自家一窩"
