,"巴掌穿鞋","行不通"
,"巴掌打空氣","勞而無功"
,"巴掌蒙眼睛","其實遮不住天"
,"巴掌劈磚頭","硬功夫"
,"巴掌心煎雞蛋","巧手；好手"
,"叭拉狗蹲牆頭","硬裝坐地虎（比喻冒充豪紳）"
,"叭拉狗掀門簾","全仗一張嘴"
,"叭拉狗咬月亮","不知天多高（比喻不知道自己有多大本事，非常不自量力"
,"扒灰頭講禮書","說裡不走理"
,"扒了皮的癩蛤蟆","活著討厭，死了還嚇人"
,"扒了牆的廟","慌了神"
,"芭蕉插在古樹上","粗枝大葉"
,"芭蕉結果","緊連心；一條心"
,"芭蕉敲鼓","面面點到"
,"疤瘌眼照鏡子","自找難看"
,"疤上生瘡","根底壞"
,"拔河比賽","兩頭拉"
,"拔節的竹筍","天天向上"
,"拔了蘿蔔窟窿在","有根有"
,"拔了蘿蔔有眼在","不得白用力"
,"拔了蘿蔔栽上蔥","一茬比一茬辣"
,"拔了毛的鳳凰","不如雞"
,"拔了毛的鴿子","看你昨飛"
,"拔了毛的獅子","惹你笑"
,"把鼻涕往臉上抹","自找難看"
,"把鐮刀卡在喉嚨裡","吞又吞不下，吐又吐不出來"
,"把牛角安在驢頭上","四不像"
,"把手插在磨眼裡","自找苦吃"
,"把它當枕頭","置之腦後"
,"把妖魔當成菩薩拜","善惡不分；害人又害已"
,"把珍珠當泥丸","真不識貨"
,"把狀元關到門背後","埋沒人才"
,"靶場上的老黃忠","百發百中"
,"靶場上練瞄準","睜隻眼閉隻眼"
,"霸王別姬","無可奈何"
,"霸王請客","吃也得吃，不吃也得吃"
,"霸五項羽","不町一世"
,"白鼻子（戲劇中的醜角）演戲","陪襯"
,"白玻璃瓶裝清水","看透了"
,"白布進染缸","洗不清"
,"白布做棉襖","反正都是理（裡）"
,"白菜熬豆腐","誰也不沾誰的光（比喻誰也佔不到誰的好處。）"
,"白菜長心","老了"
,"白菜燴豆腐","誰也不沾誰的光"
,"白菜葉子炒大蔥","親（青）上加親（青）"
,"白痴的葫蘆","傻瓜一個"
,"白骨精扮新娘","嬌裡妖氣"
,"白骨精唱歌","怪腔怪調"
,"白骨精打跟頭","鬼把"
,"白骨精的飯食","碰也不要碰"
,"白骨精給唐僧送飯","假仁假義；沒安好心"
,"白骨精化美女","人面鬼心"
